Timestamp,Šifra / ime,1. Verjetno bi ta sistem ponovno uporabil.,"2. Sistemu zaupam, da deluje korektno.",3. Sistem sem uporabljal samozavestno.,4. Sistem je uporaben v praksi.,5. Brez težav sem dosegel cilj pogovora,6. Sistem mi je kot sogovorniku dal dober občutek.,7. Sistem mi je dal občutek nadzora.,8. Kvaliteta delovanja sistema je zadostna in še ga bom uporabil.,9. Sistem je dobro organiziran in logičen.,10. Sistem je uporabljal vsakdanje besede.,11. Sistem se je zdel vljuden.,12. Hitrost govora je bila primerna in lahko sem ga sledil.,13. Glas sistema je bil prijeten.,14. Sistem se je zdel prijeten.,15. Sistem se je glede na način govora zdel profesionalen. ,16. Sistem je bil prijazen.,17. Sistem je bil vljuden.,18. Glas sistema je zvenel kot običajna oseba.,19. Glas sistema je zvenel naravno.,20. Glas sistema je zvenel entuziastično oziroma energično.,21. Glas sistema je zvenel kot glas televizije ali radia. ,"22. Zdelo se mi je, da sem moral predolgo čakati, da je sistem nehal govoriti, zato da sem lahko odgovoril.",23. Sporočila so se ponavljala.,24. Sistem je ponudil več podrobnosti kot sem jih potreboval.,25. Sistem je bil preveč zgovoren.
1/5/2019 11:14:20,Andrej,1,2,3,4,5,6,7,6,5,4,3,2,1,1,2,3,4,5,6,7,6,5,4,3,2
1/5/2019 12:23:46,Andrej2,7,6,5,4,3,2,1,2,3,4,5,6,7,4,5,6,7,6,5,4,3,2,1,2,3
1/9/2019 12:49:16,63180416,3,5,5,4,2,4,2,4,3,5,5,5,6,5,5,5,5,6,6,2,5,7,3,2,4
1/9/2019 12:54:07,63180419,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,5,2,5,3
1/9/2019 12:58:51,63180413,5,4,4,5,4,4,3,5,4,5,6,6,6,5,6,6,6,5,5,3,3,7,4,4,5
1/9/2019 13:05:13,63170424,4,6,3,5,5,6,6,4,4,6,7,7,7,7,7,7,7,3,2,3,5,5,6,5,3
1/9/2019 13:06:01,63180414,7,5,6,6,7,6,4,5,6,6,6,7,6,7,5,6,6,5,3,5,5,5,2,3,5
1/9/2019 13:11:08,63180410,6,7,7,6,5,5,5,5,6,7,7,7,7,6,5,7,6,7,6,4,3,5,2,2,2
1/9/2019 13:16:21,63180399,7,5,6,6,6,4,5,4,6,7,7,5,7,6,6,6,6,7,6,5,3,7,6,7,4
1/9/2019 13:24:01,63180402,4,6,5,3,6,4,4,3,4,6,6,7,6,4,5,6,5,2,2,6,3,3,3,5,3
1/9/2019 14:49:09,63180412,5,5,3,4,4,3,6,5,5,6,6,7,6,5,6,5,5,4,3,4,4,2,5,2,2
1/9/2019 14:50:39,63180418,6,6,6,5,4,3,5,4,4,6,6,7,5,5,6,6,6,5,4,5,3,4,4,3,4
1/9/2019 14:51:53,63140284,5,6,7,7,6,5,5,6,7,7,7,7,7,6,6,7,7,4,5,5,4,6,4,4,4
1/9/2019 14:58:40,63140015,3,2,3,5,3,4,3,3,5,7,7,7,6,3,6,7,7,2,2,4,2,1,3,3,5
1/9/2019 14:59:19,63180420,5,2,7,6,4,5,7,4,6,5,7,7,7,5,7,7,5,4,3,5,4,4,3,5,3
1/9/2019 15:03:54,63180398,5,6,4,7,7,5,5,5,5,6,6,2,6,6,6,6,6,3,2,2,3,5,4,4,6
